Topic,Program Name,Organizer,Date
"AI in Police Work: Innovation, Ethics, and Human Rights", Delivered a session to newly inducted Head Constables of the Madhya Pradesh Police Department, Police Training School", Sagar, M.P.", April 2026
Automated Grading and Feedback Systems,"Six days STP/Faculty Development Programme "Applications of Artificial Intelligence in Higher Education"","UGC- Malaviya Mission Teacher Training Centre, Department of Education, Mahatma Gandhi Kashi Vidyapith, Varanasi",February 2026
Data Analytics with Python,"6-Day Short-Term Program on "Advances in Artificial Intelligence and Data Science"","UGC-Malvia Mission Teacher Training Centre, Manipur University",June 2025
