Authors1,Authors2,Authors3,Title,Journal Info,DOI
,"Singh, Pangambam Sendash","Karthikeyan Subbiah, Govind Murari Upadhayay, Sounak Sadhukhan, Pramod Kumar Soni, and Timothy Malche ",Unsupervised deep autoencoder-based reconstruction for ink mismatch detection in hyperspectral document images,Discover Computing,10.1007/s10791-025-09837-2
"Vikash Kumar Mishra, Kamlesh Kumar Verma, Triloki Pant, Govind Murari Upadhyay, ",Pangambam Sendash Singh ,and Pramod Kumar Soni,Analysis of Urbanization Impact on Land Surface Temperature Variability by Using Landsat Imagery,SN Computer Science (2024),10.1007/s42979-024-03226-0
"Nath, Abhigyan, Rathore, Sudama, and","Singh, Pangambam Sendash",,Exploiting ensemble learning and negative sample space for predicting extracellular matrix receptor interactions,"Mathematical Biology and Bioinformatics 18, no. 1 (2023): 113-127",10.17537/2023.18.113
,"Singh, Pangambam Sendash ",and Karthikeyan Subbiah,Salient object detection in hypespectral images reconstruction based anomaly detection,Remote Sensing Letters (2022),10.1080/2150704X.2021.2005270
,"Singh, Pangambam Sendash",and Subbiah Karthikeyan,Enhanced classification of remotely sensed hyperspectral images through efficient band selection using autoencoders and genetic algorithm,Neural Computing and Applications (2021),10.1007/s00521-021-06121-4
,"Singh, Pangambam Sendash","Vijendra Pratap Singh, Manish Kumar Pandey, and Subbiah Karthikeyan",Enhanced classification of hyperspectral images using improvised oversampling and undersampling techniques,International Journal of Information Technology (2021),10.1007/s41870-021-00676-0
,"Singh, Pangambam Sendash","Vijendra Pratap Singh, Manish Kumar Pandey, and Subbiah Karthikeyan",Local Binary Ensemble Based Self-Training for Semi-Supervised Classification of Hyperspectral Remote Sensing Images,"Computaci&oacute;n y Sistemas 24, no. 2 (2020): 497-509",10.13053/CyS-24-2-3374
"Singh, Vijendra Pratap, Manish Kumar Pandey",Pangambam Sendash Singh,and Subbiah Karthikeyan,An LSTM Based Time Series Forecasting Framework for Web Services Recommendation,"Computaci&oacute;n y Sistemas 24, no. 2 (2020): 687-702",10.13053/CyS-24-2-3402
