Title,Journal Info,DOI
ꯒ꯭ꯂꯣꯕꯦꯂꯥꯏꯖꯦꯁꯟ ꯅꯥ ꯑꯄꯤꯛꯄꯥ ꯂꯣꯟ ꯁꯤꯡꯗꯥ ꯄꯤꯔꯤꯕꯥ ꯑꯍꯣꯡꯕꯁꯤꯡ: ꯃꯅꯤꯄꯨꯔꯤ ꯂꯣꯟꯗꯥ ꯃꯤꯇꯌꯦꯡ ꯑꯃꯥ,"भारतीय भाषालोक: वैविध्य एवं वैशिष्टय, डॉक्टर हरीसिंह गौर केंद्रीय विश्वविद्यालय, सागर मध्य प्रदेश द्वारा प्रकाशित गौर ज्ञान श्रृंखला",Link
Data Science: A future - proof career for curious minds,"Leeklam, 4 (2025). Kakching Khunou Educational Forum",https://kkeforum.org/wp-content/uploads/2025/06/leeklam-2025-web.pdf
National Science Day: Honouring innovation and scientific temper,"The Sangai Express - English Edition, (27-02-2025)",https://epaper.thesangaiexpress.com/index.php?edition=Mpage&amp;date=2025-02-27&amp;page=4
Celebrating Machine Learning with the 2024 Nobel Prize in Physics,"The Sangai Express - English Edition, (14-10-2024)",https://epaper.thesangaiexpress.com/index.php?edition=Mpage&amp;date=2024-10-14&amp;page=4
Catalyst and Solutions to the ongoing ethnic clashes: A quest,"The Sangai Express - English Edition, (09-05-2023)",https://epaper.thesangaiexpress.com/index.php?edition=Mpage&amp;date=2023-05-09&amp;page=4
